ContentNormalizedHash,LinkedPostId,LinkedPostTypeId,PostCount
-209296994815098749,1140358,1,1
-8295062948747500768,5445085,1,1
-2867978475836256549,15826788,1,1
4374232884910054999,4260602,1,1
-3627068982508844273,5991319,1,1
-4826665444439871011,13516389,1,1
-2106406525110062999,36264223,1,1
-8892332431143295783,44625552,1,1
8870068725844198933,42731625,1,1
-4583399412731846739,11626761,1,1
-201369025766617954,34974844,1,1
-7485238990110424403,28686198,1,1
-5977877816187599558,11971527,1,1
6395886232602608645,10395383,1,1
388084570790831172,5937757,1,1
-8980399697393119316,41869606,1,1
5118518156989259602,10285007,1,1
-6452414179218392847,7777626,1,1
-8405180437550352518,871431,1,1
-3648827512363136982,31605012,1,1
-2814528122672874515,14197326,1,1
566758885963349668,17338362,1,1
-6767437387323632462,16005009,1,1
-1761440668202600454,12301358,1,1
6092579446099439129,2899079,1,1
5289463582358515208,3534546,1,1
5438639355113954904,20309104,1,1
3999671946635277774,7650275,1,1
6936724164030088253,2471935,1,1
8670124053382476845,29393459,1,1
4238533642733230419,47432949,1,1
-5963393402250114608,22651038,1,1
-6461251753919385346,43287702,1,1
7067841769298233335,8671479,1,1
-1524339498175334164,37270835,1,1
272361364169705137,28282322,1,1
6519447488966104148,16374820,1,1
5798267747844636529,32370994,1,1
5912905815882770929,13196234,1,1
-5225100693346224527,40836700,1,1
2564691331794107121,12871348,1,1
-8733016530692225257,32172249,1,1
3910773230993870234,15434107,1,1
-8428261682360484184,4892506,1,1
-5230797876773627701,28182251,1,1
-1597356366449470711,7806056,1,1
-6445449129080642744,16076309,1,1
866869093911194406,23449880,1,1
-2285107954955793589,13695522,1,1
-3819802534477390816,8355422,1,1
-6725192235698552808,20264268,1,1
360539902447864444,20880711,1,1
6406180929369555941,2828968,1,1
-6647121758967146726,1940581,1,1
-5753938048601641797,22988475,1,1
-5089748664717452226,229565,1,1
-8934139226958565776,3121472,1,1
2083935295534070864,17743397,1,1
-3648532586406376937,14614369,1,1
7529134522661269411,27380260,1,1
-3272580515944905209,3100458,1,1
-6343001530827039136,3310883,1,1
-5637613756333831640,37445169,1,1
-170560687326120620,1033648,1,1
239788384756726389,15885172,1,1
4571684111789824075,31631354,1,1
-4301429837529383227,29135627,1,1
4338704172566074137,37377529,1,1
-379547324775109289,3024168,1,1
1429860256217486358,38155396,1,1
-5971101669777453998,23708655,1,1
8705841510950774298,34691318,1,1
7933196528888409153,6346649,1,1
-193280028557083086,14038331,1,1
3318304454595867253,10908696,1,1
8652759863995718604,8835986,1,1
3797390014504469471,6425025,1,1
-8305085329023670148,19394017,1,1
2903693604825925669,31327897,1,1
-1259004685827141543,39404949,1,1
-401147837124735134,20780882,1,1
-5919402179573369293,22390812,1,1
3050340787059424304,12835380,1,1
7005534125408551566,4312133,1,1
6836089531613795265,12112844,1,1
923251291667896136,7223345,1,1
-5753938048601641797,17470831,1,1
2212512839041813950,36385305,1,1
600466804366680120,35140545,1,1
-2264362189855983554,7418506,1,1
-1104416948391205174,27991883,1,1
-4812763583046996368,8655529,1,1
4651005752917659740,4244256,1,1
4041121608616554610,4720012,1,1
7845349661174612735,40446956,1,1
-8224739820850779793,17040148,1,1
-7479117547886422849,14882805,1,1
3828397806918339044,7446681,1,1
-7071128980553351032,33065926,1,1
7933196528888409153,8204298,1,1
-261852576858895017,27929308,1,1
8312984509775870793,11901884,1,1
-5170401661494942795,4706073,1,1
-2955024027415142519,6995443,1,1
7309325713207717038,12719665,1,1
356621269749226877,33627053,1,1
348161922827917845,2059309,1,1
5285189919970893286,12123895,1,1
-8287587270981392343,25789245,1,1
-6457192751871253906,32741316,1,1
-5966679956066805125,31522637,1,1
1627838541236154992,25899395,1,1
-6948520937099740007,35672581,1,1
-5038341380257752707,13708180,1,1
6047063344915275991,42010384,1,1
8965913688327990774,1129216,1,1
2037552002503375253,16698575,1,1
-8159971965002194244,28932080,1,1
-7353197752973613288,49847798,1,1
-104265594226727320,4000483,1,1
5864957441210467325,38356835,1,1
-7566579814869900913,6176609,1,1
-5681981297447140465,769310,1,1
3811324854349786539,3495422,1,1
-2579628532233812963,16512224,1,1
5743479489418078379,25600087,1,1
3214075321830650808,14722392,1,1
8673674684760189375,35903652,1,1
646243920391941868,45240570,1,1
-5364897331201022295,11204464,1,1
-9054611538205299593,2317428,1,1
9119938339663565259,18612524,1,1
-8976171254876718141,19149174,1,1
-6846665427486301987,17581447,1,1
-3147513132811280412,12647001,1,1
6913354025548838293,13466641,1,1
-3439003007533833262,3321082,1,1
-8531635618712989284,7369814,1,1
-5363065588231657945,14035872,1,1
-5655493441387013646,11375909,1,1
3097958740842971181,23034006,1,1
6436229950745487041,18986848,1,1
401027524720255700,5109336,1,1
-3294253618406543085,5716117,1,1
5326038305212654937,1816559,1,1
-4213054875185162619,10684469,1,1
-872367986961968433,8903443,1,1
-1097329056400844402,7250503,1,1
-5592326297434926199,19156476,1,1
2514141952191438200,36428714,1,1
858596012765553080,34640524,1,1
-2764732491333243127,5677993,1,1
-7907473048011328414,25701669,1,1
-474851500239445330,19541942,1,1
8086714977820588303,4891692,1,1
6620773680300762649,15853746,1,1
-4624982753467665639,20064793,1,1
-8111601711904214573,14428887,1,1
-7240890683946353551,28643998,1,1
-6746596081174185162,8526278,1,1
323552060329261310,14087598,1,1
-9157990101278804662,5797548,1,1
6191284825954600921,11338256,1,1
6521292197248186805,34022662,1,1
-7272186920249406476,42832387,1,1
2905717999084750975,6810634,1,1
-614386906058558618,32558568,1,1
6926225419206828267,14422864,1,1
-3058674022290873449,3942224,1,1
-6969542948917554516,8736713,1,1
-7907473048011328414,25842487,1,1
-4529218056436908110,722547,1,1
6375867367533836246,2494756,1,1
-6794564433352514040,12798530,1,1
5468855078514924419,10140737,1,1
-3377892341095648491,10226046,1,1
-8554589434196079114,17175062,1,1
1627772775444286784,20460357,1,1
6007094695575630523,2901102,1,1
9148605466681395857,10130837,1,1
-9012886390182183673,27385344,1,1
-1687569499477662412,25159685,1,1
-6594918956333995777,26814639,1,1
-1131140573442979865,43693591,1,1
-9158630666442180550,4897766,1,1
7418763098865074792,22736593,1,1
8000929289441018063,1339136,1,1
378022917211677969,28022131,1,1
4607108988504106016,672731,1,1
-3025459005250770779,4909167,1,1
7131158976667358214,44219901,1,1
3219913164922961063,26896611,1,1
-7127285939345808898,1886923,1,1
5801209099507432854,32708665,1,1
4871549395067445271,11998593,1,1
1698594980558484782,25036816,1,1
-1545593658882134687,14803205,1,1
-5242034534282959483,46818951,1,1
532311883466550722,364253,1,1
4183769215181755591,8706017,1,1
6511547991780728482,8438830,1,1
-4928043138665701575,1417400,1,1
-3625041300753018069,8078892,1,1
1175914665885731641,27162627,1,1
-4217533608751470357,848840,1,1
-104818903886593172,35042255,1,1
3120739992360773482,23576726,1,1
-2269838604373136441,3382498,1,1
-3908219791170483452,22426744,1,1
-7715238347161483282,25859241,1,1
3985989133877219506,10195557,1,1
1015192607030367935,29811410,1,1
5512138746067244544,3250283,1,1
-7864393168699659184,30410421,1,1
45228677566100137,12411275,1,1
2876474072471510264,49409330,1,1
-5647022390435435701,5782922,1,1
6516121395861716656,466071,1,1
-3287869931916991986,5842339,1,1
-84927395897826948,484463,1,1
2468333885938248384,13780123,1,1
3279227689113768100,44577331,1,1
5100102689990091746,24748589,1,1
85168381448019426,1661197,1,1
-3283873571002409722,28853176,1,1
1160114470568191817,23506105,1,1
8392665959952569870,36720677,1,1
-3332742323372056852,409999,1,1
7556896699350007669,13855049,1,1
983250434227299559,16208365,1,1
-2055902491156925843,31609048,1,1
4884224415696953529,10042122,1,1
-7877933108381073319,2233129,1,1
-8391897636277107696,1825886,1,1
7585212454190198290,18261338,1,1
1546155867188441764,36247140,1,1
5076612473549223656,20204348,1,1
1361993210694222641,24831352,1,1
2661077018394240310,1877417,1,1
8936880107155662886,21656559,1,1
-7476280420002202198,21656959,1,1
177249900088745499,1089508,1,1
1756081370651505197,48654970,1,1
-2035989933508657001,42955514,1,1
9053639209893220832,14850268,1,1
2693014652525600921,37124616,1,1
-1940560042923848311,4709510,1,1
-480586749311420754,5045630,1,1
-5890322010223888356,10147161,1,1
5421540679784923505,5650063,1,1
5689436236199608781,18406570,1,1
-1894762283936680806,17832304,1,1
-6031231049060663805,6226976,1,1
3048482091962510887,19710613,1,1
-5819391362420046908,4271517,1,1
-7823113156834582758,6706310,1,1
180720762437455149,3728781,1,1
2744846314465649620,1722437,1,1
-7989113733687058360,18355739,1,1
3627604433694642477,8411414,1,1
-5339276766137118805,14495030,1,1
485607546903847101,2647761,1,1
-4515137375649040987,1239975,1,1
3999861751834942089,18253856,1,1
2075212309139361310,13825278,1,1
-9064116010129209073,316626,1,1
-3717163558040396869,30041954,1,1
-619318082375444150,26982904,1,1
8228572778970664648,23936271,1,1
1698594980558484782,3240331,1,1
-6182520855640468929,16435740,1,1
-7201968844456414444,30709419,1,1
8009435852390522697,769983,1,1
-1917955279301396903,22151426,1,1
1593540098395404012,15168259,1,1
1590754443835717704,36951515,1,1
2951930896208573854,13489723,1,1
2377069201167237390,112055,1,1
-8850493876031277177,24394549,1,1
56265636401614710,7585383,1,1
503657718671714886,9088963,1,1
1965816561043617536,7965747,1,1
7259159795702852483,9258344,1,1
7451336452398734819,9520134,1,1
8159273166931059928,2292629,1,1
1887276720236601108,16077159,1,1
3860184102796108380,21570709,1,1
5448884047059247678,22032793,1,1
-3532648829010637371,24492790,1,1
9059687852329807451,16649939,1,1
-863061933717261289,15860188,1,1
3055684187821417837,15090782,1,1
-6110748367202919354,5009324,1,1
3486007102178399724,30003173,1,1
-5490247915371883343,9989910,1,1
-35627801614622220,38689631,1,1
6697144843710518443,3136084,1,1
-6280225805598656865,30902449,1,1
-7466654503474666200,6894271,1,1
-5651970429528571851,42485961,1,1
472391435430522641,50818163,1,1
9176031198444943907,44544994,1,1
331725584961770823,891324,1,1
7788005887110185685,20009990,1,1
5285189919970893286,9509668,1,1
409031103987166434,33420907,1,1
-8643121533359049067,6275130,1,1
