ContentNormalizedHash,LinkedPostId,LinkedPostTypeId,PostCount
-1729820575709771873,25321794,1,1
1090486747863262817,14413982,1,1
3898449443350863010,18828455,1,1
-1167812417924453365,17643897,1,1
-4242441376643794959,19368595,1,1
5801209099507432854,32708665,1,1
-5246819627672708070,30904138,1,1
7578684628097229581,20210522,1,1
4754449464921301390,18571301,1,1
-8447731357230656940,21044497,1,1
-2148328411180859395,60174,1,1
-3216684853017641881,25726082,1,1
-3170955870342331909,14526032,1,1
4390097984731655937,4653224,1,1
8528126096049028643,5706553,1,1
-5681981297447140465,3165318,1,1
-9095893569078000211,7946699,1,1
-9071905053464819722,16299066,1,1
7081788974001428331,24560076,1,1
-6697584344281190150,3908782,1,1
-4966531389409993850,19260524,1,1
-7084009160264564981,436351,1,1
-6101385667276464332,229889,1,1
4868597549705666100,31915957,1,1
8007275197034034836,11027792,1,1
4399038646876727212,10335718,1,1
-2447376806998789302,3622818,1,1
-5985462402618514748,10395136,1,1
3028368276013726183,1542252,1,1
4070549829462344323,7631612,1,1
3148100725669038565,37894622,1,1
-1597356366449470711,7806056,1,1
-5151139722399446198,26505632,1,1
-6110748367202919354,5009324,1,1
-3240397532954157423,15919060,1,1
-6821872008408170017,15540395,1,1
-6751604314950424373,23816005,1,1
1380958385336182038,10876996,1,1
1966019011790069011,26700910,1,1
1380958385336182038,9616419,1,1
4070549829462344323,7055918,1,1
-5681981297447140465,769310,1,1
-870907804595177072,2848063,1,1
4338704172566074137,37377529,1,1
2696803902754219593,18003065,1,1
7533036777677326903,16439587,1,1
-6500893646956768357,7212064,1,1
-3216684853017641881,19099283,1,1
6655500920933732912,21670438,1,1
1966019011790069011,38584143,1,1
-6778563487215722896,1688099,1,1
4429860135061719689,4741880,1,1
-5151139722399446198,26574138,1,1
9119938339663565259,2537721,1,1
7342102130512535530,34886070,1,1
-3265155400985436101,8321096,1,1
-111703230935110568,6776327,1,1
1402827098056827123,41275958,1,1
-7068658475055544329,23534318,1,1
6519357850793231325,26517855,1,1
-350171119176863130,33619150,1,1
-3740507415921173751,16968412,1,1
6836089531613795265,6002256,1,1
-3812640104739559772,7492636,1,1
-7514942407135675973,3455931,1,1
5801209099507432854,21112832,1,1
1723753797070003546,1026483,1,1
-5858340902814917631,9886361,1,1
-11398081000933035,27323723,1,1
1090486747863262817,14572844,1,1
4772594179063288144,4139288,1,1
1966648461276943612,31708824,1,1
2417057025895069362,18573774,1,1
-2928181491388664103,9377786,1,1
3452272278388001665,6157929,1,1
-4214310502996553040,37758003,1,1
6857146719266237045,32456848,1,1
-4732399677531967699,26245139,1,1
1593540098395404012,12671516,1,1
-2863627873509093252,18244223,1,1
7033485488345308104,12669740,1,1
2903693604825925669,31327897,1,1
2341524940657599414,4312613,1,1
-9071905053464819722,13247921,1,1
-8042916622722991446,2,1,1
7033485488345308104,8070401,1,1
-8169927991131544224,22137283,1,1
6836089531613795265,12112844,1,1
-7938393519378727411,40575560,1,1
7494245502747693139,26296206,1,1
7598706216376284881,9292032,1,1
3148100725669038565,37709918,1,1
7431128153359959656,24742539,1,1
5933491443417784140,14322989,1,1
-6956868702792698741,26530685,1,1
-5761503065898476361,9283765,1,1
1090262710034975433,13989300,1,1
1029253203015088369,2720512,1,1
7599229106722182407,12859942,1,1
-211525698043731571,5891802,1,1
-3740507415921173751,10165965,1,1
-8798156796475072968,8844868,1,1
-504294653977591417,3601125,1,1
-6989384187470228972,16895540,1,1
5801209099507432854,33563153,1,1
-4242441376643794959,41345006,1,1
6108429274627718710,5039779,1,1
-74134386470572286,19837820,1,1
-4242441376643794959,43915137,1,1
1344295840820905821,51073240,1,1
-2972888550122734567,39623625,1,1
985360751943875297,26965016,1,1
1530286527606535273,11281010,1,1
-1458007427702880306,5578921,1,1
-1682005555560073119,450936,1,1
1076385828913957821,5402253,1,1
1285258962606565063,34465798,1,1
3148100725669038565,32197615,1,1
-8486655498174608403,1258275,1,1
-211525698043731571,11730186,1,1
-1918052679475379819,13224567,1,1
-5194176476170190495,13408709,1,1
6707943169886565317,4554569,1,1
1593540098395404012,15168259,1,1
-7938393519378727411,33138454,1,1
5289854828844283396,17298702,1,1
5926779484911530976,13477820,1,1
-822985486122289568,14784620,1,1
-8295062948747500768,5445085,1,1
-5221657954033827981,37377529,1,1
5289463582358515208,3534546,1,1
-9071905053464819722,13586907,1,1
-3990695818406800162,24644436,1,1
-5151139722399446198,27532167,1,1
5773749143934276782,10675070,1,1
6476838889549613891,4744187,1,1
1090486747863262817,28597903,1,1
-1729820575709771873,667053,1,1
1427251776819570189,4075802,1,1
-4377730057715008848,43461376,1,1
6836089531613795265,17879198,1,1
6737965886511205011,14977864,1,1
7081788974001428331,28982176,1,1
-6697584344281190150,35899887,1,1
5022669134102217162,20588387,1,1
-466239049395721922,11572293,1,1
485607546903847101,2647761,1,1
-6714517673976532930,12301358,1,1
-980126686617744876,4743116,1,1
-4265396399830083832,16707995,1,1
4868597549705666100,42455270,1,1
-1458007427702880306,12258280,1,1
-3951921276468065785,18385362,1,1
-5681981297447140465,1972739,1,1
-5194176476170190495,18133136,1,1
-3812640104739559772,6410623,1,1
-4683002830059403787,712392,1,1
7533036777677326903,5150637,1,1
1427251776819570189,185804,1,1
-3571317264799948355,36992922,1,1
7081788974001428331,14888324,1,1
856893183751787001,33025134,1,1
-1167812417924453365,18277968,1,1
-5543967903149312769,5710358,1,1
-9012697084987678731,32661405,1,1
-111703230935110568,12626112,1,1
-3812640104739559772,7208358,1,1
-6697584344281190150,13273731,1,1
-6751604314950424373,16078544,1,1
2617362622770643235,7739566,1,1
-4387817131698424304,14892095,1,1
-5681981297447140465,2632280,1,1
-3216684853017641881,17535254,1,1
-111703230935110568,5606685,1,1
-7062081005185602493,19217835,1,1
-2757842482450860645,2940671,1,1
1851257398938410938,10945643,1,1
-6106075639221082550,5860215,1,1
490449213296150202,28759527,1,1
6836089531613795265,155097,1,1
-1371849453416404263,211383,1,1
8652448581385012453,1432946,1,1
3850447979758014203,14322413,1,1
-1162704615312877246,1217141,1,1
-5317856726261573023,20299064,1,1
6836089531613795265,7405345,1,1
-3971998424457726247,18310126,1,1
6836089531613795265,16078544,1,1
-8789434266838724920,7351898,1,1
-3216684853017641881,32155036,1,1
5933491443417784140,27390526,1,1
5933491443417784140,12771167,1,1
314329119620760885,16893209,1,1
5801209099507432854,38042866,1,1
-969775284486986516,22421840,1,1
268133672878768968,16288018,1,1
6860669719297625812,2733356,1,1
-6989384187470228972,16645656,1,1
7819093955917923933,2811001,1,1
-111703230935110568,3527621,1,1
-8734996800904274933,35142251,1,1
1090486747863262817,20984414,1,1
-6697584344281190150,17085717,1,1
8877693753634073099,10075304,1,1
-7062081005185602493,15732853,1,1
-5858340902814917631,7428997,1,1
6911894444565405339,10196579,1,1
-1237650512498776727,15754035,1,1
1175100714651007221,2208480,1,1
-8146749513586072024,22317951,1,1
-1167812417924453365,18685702,1,1
-57501776612634495,10925542,1,1
6092579446099439129,2642777,1,1
-1918052679475379819,13116208,1,1
-5424967405858791886,634995,1,1
-487633953771802194,15768379,1,1
-3740507415921173751,12669740,1,1
3148100725669038565,39868001,1,1
6278780595797951243,18422140,1,1
7924267293037309483,5093398,1,1
-3403612589528070626,18229279,1,1
-8433953513507548904,36560761,1,1
-1761440668202600454,12301358,1,1
9119938339663565259,18612524,1,1
-924302019484094658,14782087,1,1
6092579446099439129,2899079,1,1
-442327044831529568,7962704,1,1
4710517518590047171,15792666,1,1
1966019011790069011,23397763,1,1
7925543843738742250,14385044,1,1
5252322701995684984,34808054,1,1
1388200812100721394,17835426,1,1
-6778563487215722896,10500775,1,1
-211525698043731571,12414009,1,1
-4606079262378767696,31590714,1,1
6618768693384569066,9979827,1,1
-5634320452260364192,5855758,1,1
6857146719266237045,30731785,1,1
-8110747859698983069,44950859,1,1
-7062081005185602493,15570039,1,1
-6989384187470228972,29029410,1,1
6141336676874606640,11896327,1,1
-8295062948747500768,15852122,1,1
-6697813093223855670,10383614,1,1
-8645068503732615245,8634810,1,1
5933491443417784140,44985909,1,1
-4606079262378767696,27813407,2,1
1494368114509922553,14703806,2,1
-4732399677531967699,26245463,2,1
4754449464921301390,18583329,2,1
-3973337732749738974,15840673,2,1
6092579446099439129,1000205,2,1
-5585415507527294882,22302422,2,1
-6279757433910193750,31257178,2,1
2903693604825925669,31332928,2,1
3053607402054489305,32092987,2,1
-5246819627672708070,24267114,2,1
-6500249012456597290,18879660,2,1
-111703230935110568,15739018,2,1
6666567173282868368,33031158,2,1
-2972888550122734567,26174573,2,1
3704344147495627549,5309155,2,1
3233517897659972142,15497878,2,1
-504294653977591417,3627308,2,1
-1660629039029144163,12142904,2,1
-74134386470572286,19945676,2,1
1723753797070003546,49757229,2,1
-3170955870342331909,14472345,2,1
4021287301782476352,510364,2,1
-3409418973436338563,12777740,2,1
-3182432590532199363,3506039,2,1
178615073772769725,25258290,2,1
4364389210239291192,14488766,2,1
8877693753634073099,10454688,2,1
-1773720707591408982,14339355,2,1
-56537683435880593,14469041,2,1
1443710385860610152,9329476,2,1
-30516825193219210,7239135,2,1
-4242441376643794959,35241363,2,1
-3973337732749738974,14469041,2,1
6767177024937218971,304441,2,1
-211525698043731571,23175981,2,1
3415662555019872762,12132051,2,1
-3788590211217673651,17944205,2,1
8877693753634073099,42021886,2,1
5801209099507432854,41319284,2,1
6857146719266237045,30732693,2,1
-2863627873509093252,19002263,2,1
-3837666173352327282,38389276,2,1
1175100714651007221,4205967,2,1
2903693604825925669,31717423,2,1
1723753797070003546,31005696,2,1
-2514559936805527336,14702636,2,1
8259472307472021851,2138534,2,1
-8912628690135773283,2830994,2,1
6767177024937218971,3432868,2,1
-6714517673976532930,1673281,2,1
7431128153359959656,26372276,2,1
-5170660584319779116,22797619,2,1
2722066141132481138,15896508,2,1
1443710385860610152,9338959,2,1
387452440943606315,3281337,2,1
1923697936279501963,4169474,2,1
7494245502747693139,26297240,2,1
8877693753634073099,42115353,2,1
-9152312263599898882,44596467,2,1
7212461850433373,12284003,2,1
2722066141132481138,14779649,2,1
5234487877748031670,18592868,2,1
2696803902754219593,28902823,2,1
8007275197034034836,11028521,2,1
6767177024937218971,3432895,2,1
1388200812100721394,4308662,2,1
1427251776819570189,37313068,2,1
3028368276013726183,2023685,2,1
3903270173783939077,9953516,2,1
-8295062948747500768,16890937,2,1
8618723629276309333,8567771,2,1
-5210080652456827021,15903168,2,1
-8146749513586072024,24081343,2,1
1723753797070003546,27508116,2,1
7924267293037309483,6314568,2,1
-8486655498174608403,7855852,2,1
7533036777677326903,12615724,2,1
-5681981297447140465,769363,2,1
-6575378853826798377,12938787,2,1
-3837666173352327282,36147896,2,1
-3740507415921173751,12794381,2,1
1029253203015088369,5130861,2,1
256132523948787002,35364323,2,1
-2460862715150386992,7480080,2,1
502621267830018892,40402361,2,1
-4214310502996553040,38377857,2,1
-1106593389650927535,26155809,2,1
1344295840820905821,32133956,2,1
-56537683435880593,15840673,2,1
6737965886511205011,32092987,2,1
-111703230935110568,15760297,2,1
6695662838436526717,36077775,2,1
-3740507415921173751,12777805,2,1
-8606461696064080768,16199649,2,1
-6558378006181429454,22139271,2,1
-9131089500354668336,20559175,2,1
-3403612589528070626,9988544,2,1
-211525698043731571,32157582,2,1
-7514942407135675973,6691294,2,1
-111703230935110568,9073328,2,1
2341524940657599414,4312705,2,1
-8775151416932102248,7712758,2,1
-2863627873509093252,19585339,2,1
-2193151277330483166,8996637,2,1
8233748811501017858,35577315,2,1
4363154865873797243,31236591,2,1
-1031584601152447846,3305276,2,1
-4606079262378767696,11019879,2,1
5933491443417784140,1763156,1,2
-1918052679475379819,13131529,1,2
7533036777677326903,6343166,1,2
8012493048031829965,13909885,1,2
-4816270635512714267,5745814,1,2
3677187917039538253,3145089,1,2
